Title,Description,Coding,2nd Coding,3rd coding,polarity
Magic Johnson gets honest on NFL's stance with Travis Kelce-Taylor Swift's budding romance,Magic Johnson gets honest on NFL's stance with Travis Kelce-Taylor Swift's budding romance,Dating life,1,1,neutral
"From Spotify’s 1,000 plays threshold to Taylor Swift’s blockbuster 1989 rerecording… it’s MBW’s Weekly Round-Up",The five biggest stories to hit our headlines over the past seven daysSource,Music,5,6,positive
Travis Kelce Makes Much-Awaited Arrival for Taylor Swift’s Eras Tour Concert; Are They Hanging Out Together After the Concert?,"Kelce was a little late to the Buenos Aires concert on Sunday. After making the solo trip to the city on Friday midnight and vanishing from public eyes for a solid two days, he finally made it in time. Is Kelce taking out Taylor Swift for dinner afterward to compensate? Earlier in the day, Swifties…The post Travis Kelce Makes Much-Awaited Arrival for Taylor Swift’s Eras Tour Concert; Are They Hanging Out Together After the Concert? appeared first on EssentiallySports.",Dating life,1,1,neutral
Is Travis Kelce at the Taylor Swift Eras Tour concert? Updates on if Chiefs star is in Argentina during bye week,Updates on Travis Kelce attending Taylor Swift's Eras Tour concerts in Argentina during Chiefs' Week 10 bye.,Dating life,1,1,neutral
Taylor Swift's postponed Argentina show forces airline to waive flight-change fees,LATAM Airlines waived ticket change fees after Taylor Swift postponed a show in Buenos Aires due to rain.,Tour,5,5,neutral
"“He Has to Be Back on Sunday”: Despite Eras Tour Travel Plans, Travis Kelce Likely to Get Limited Time to Spend With Taylor Swift","The Kansas City Chiefs are celebrating their stunning 21-14 victory against the Miami Dolphins. They have, yet again, defeated another giant in the NFL arena. Because of that result, the Dolphins dropped to a 6-3, whereas the Chiefs boosted themselves up with a 7-2. Now, they’re all set to take on the Philadelphia Eagles. This…The post “He Has to Be Back on Sunday”: Despite Eras Tour Travel Plans, Travis Kelce Likely to Get Limited Time to Spend With Taylor Swift appeared first on EssentiallySports.",NFL,2,2,neutral
"Amid Eras Tour, Taylor Swift-Brittany Mahomes’ Friendship Bond Empowers Patrick Mahomes’ Noble Cause","The growing friendship between the American pop icon Taylor Swift and Patrick Mahomes’ superwife Brittany Mahomes is turning all heads for all the right reasons. The new gal pals were spotted together many times in the last month. It all seemingly started when Travis Kelce and Swift’s dating rumors started popping up. Now, this newly…The post Amid Eras Tour, Taylor Swift-Brittany Mahomes’ Friendship Bond Empowers Patrick Mahomes’ Noble Cause appeared first on EssentiallySports.",Friends,4,4,positive
"“Make You Famous”: Citing Betrayal of Taylor Swift, Dave Portnoy Demands Apology for Brittany Mahomes’ Skims Campaign","Taylor Swift fans are not unaware of the fact that Dave Portnoy is the biggest defender of their idol. This recently became succinct once again. Dave Portnoy once again took to social media to voice his opinions about Taylor’s new BFF Brittany Mahomes and her family modeling for Kim Kardashian’s SKIMS. It can be an…The post “Make You Famous”: Citing Betrayal of Taylor Swift, Dave Portnoy Demands Apology for Brittany Mahomes’ Skims Campaign appeared first on EssentiallySports.",Friends,4,4,neutral
Planning to Watch Taylor Swift’s Eras Tour Performance to Be Attended by Travis Kelce? Ensure You Have These Many Dollars in Your Pocket,"The Blank Space singer has finally filled her Eras Tour gap. Taylor Swift is hitting the stage in Argentina this time. Since she announced the second round of her international tour, Swifties had gone wild over her presence. Now that she has returned, she isn’t alone, delighting her fans with her rumored boyfriend’s presence, too. Per…The post Planning to Watch Taylor Swift’s Eras Tour Performance to Be Attended by Travis Kelce? Ensure You Have These Many Dollars in Your Pocket appeared first on EssentiallySports.",Tour,5,5,positive
"As Taylor Swift Rocks Eras Tour Concert Attended By Travis Kelce, Britney Spears Revisits Her ‘Girl Crush’ Memory","Most people couldn’t achieve what Taylor Swift achieved at 14. She signed a publishing deal with Sony and didn’t look back after it. The multi-Grammy winner is on the last leg of her Eras tour. Travis Kelce finally showed his support and attended her concert at Estadio Monumental (Estadio River Plate) in Argentina. What transpired…The post As Taylor Swift Rocks Eras Tour Concert Attended By Travis Kelce, Britney Spears Revisits Her ‘Girl Crush’ Memory appeared first on EssentiallySports.",Tour,5,5,positive
Taylor Swift tour may prevent Thanksgiving at home with Travis Kelce,Taylor Swift's first Thanksgiving with Travis Kelce may be over FaceTime as she continues Eras Tour in Brazil while he plays football with Kansas City Chiefs.,Dating life,1,1,neutral
"Taylor Swift Could Miss Chiefs vs. Eagles Clash, Travis Kelce’s Mom Reveals the Reason","Donna Kelce shared an exciting update on the presence of Taylor Swift for the season’s biggest battle, the Chiefs vs the Eagles. The two teams faced each other in the last Super Bowl final in February. Although the Eagles had a fair advantage till the third quarter, the last effort by Patrick Mahomes produced two…The post Taylor Swift Could Miss Chiefs vs. Eagles Clash, Travis Kelce’s Mom Reveals the Reason appeared first on EssentiallySports.",NFL,2,2,neutral
"Taylor Swift, Rihanna, David Guetta, and More Bring Equestrian Love to a Melodic Finish","Equestrian influence is making its waves in both sports and the glitzy music circuits of today’s world! There is a fascinating trend today in which music videos and tunes are inspired by a horse’s sheer beauty and power. The blending is perfect, whereby different melodies effortlessly follow the rhythmic movement of hooves in order to…The post Taylor Swift, Rihanna, David Guetta, and More Bring Equestrian Love to a Melodic Finish appeared first on EssentiallySports.",Success,6,5,positive
"Patrick Mahomes & Travis Kelce Get 15-Day Break, One-Week Breather For Taylor Swift","The Miami Dolphins were steamrolled over by the Kansas City Chiefs in the Frankfurt game. Since then, a lot has happened for the Chiefs stars Travis Kelce and Patrick Mahomes. The Chiefs, with a 7-2 top standing in the AFC East, have a much-deserved bye week at their disposal, and they have made the best…The post Patrick Mahomes & Travis Kelce Get 15-Day Break, One-Week Breather For Taylor Swift appeared first on EssentiallySports.",NFL,2,2,neutral
"Taylor Swift, Travis Kelce meet the parents: Who's who in each famous family","As Taylor Swift and Travis Kelce's relationship continues to grow, they have been spotted spending time with each other's parents, who appear to be supportive of the romance.",Dating life,1,1,positive
Travis Kelce Defends Taylor Swift’s Dad for Choosing Kansas City Chiefs; Jason Shares Response,"It’s not always sunny in Philadelphia. Recent events surrounding a billion-dollar celebrity and her father have enraged a certain group of NFL fans. Having spent a large part of her childhood in Philadelphia, the Swifts have been avowed Philadelphia Eagles fans. At least till Swift became linked with Kansas City Chiefs TE Travis Kelce. And…The post Travis Kelce Defends Taylor Swift’s Dad for Choosing Kansas City Chiefs; Jason Shares Response appeared first on EssentiallySports.",NFL,2,1,neutral
Travis Kelce’s Mom Backs Taylor Swift’s Kiss Despite Reportedly Throwing Shade Her Way Last Week,"The romance between Kansas City Chiefs star player Travis Kelce and pop icon Taylor Swift is blossoming with each passing day. Every week, we catch glimpses of their growing connection, and it appears that they are deeply into each other. Thanks to the latest updates surrounding the dynamic duo, everyone seems to be talking about…The post Travis Kelce’s Mom Backs Taylor Swift’s Kiss Despite Reportedly Throwing Shade Her Way Last Week appeared first on EssentiallySports.",Dating life,1,1,positive
“The Guy on the Chiefs”: Dave Portnoy Highlights Taylor Swift’s Affectionate Love After Public Call-Out in Buenos Aires,"Dave Portnoy goes to war for Taylor Swift. While he did not agree initially with her current choice of a romantic partner, Portnoy jumped on board soon after. Her beau, Travis Kelce, was in the stands in Buenos Aires, Argentina, during the Eras Tour. The pop star acknowledged him with a few changes in the…The post “The Guy on the Chiefs”: Dave Portnoy Highlights Taylor Swift’s Affectionate Love After Public Call-Out in Buenos Aires appeared first on EssentiallySports.",Dating life,1,1,positive
Lionel Messi Arrives in Argentina Just Hours Before Taylor Swift’s Eras Tour in Buenos Aires: Will He Attend the Concert?,"Taylor Swift is perhaps one of the few people person who can divert attention from Lionel Messi. This week, many Argentinian fans of the Labyrinth singer have an opportunity to see their icon. But to add spice to the event, the Argentine soccer team captain also arrived in the country Sunday morning, but will he…The post Lionel Messi Arrives in Argentina Just Hours Before Taylor Swift’s Eras Tour in Buenos Aires: Will He Attend the Concert? appeared first on EssentiallySports.",Tour,5,5,neutral
"Hours After Arrival in Argentina, Lionel Messi Name-Dropped at Taylor Swift’s Eras Tour Concert by Sabrina Carpenter","Taylor Swift‘s timing for her Eras Tour could not get more perfect. The singer was received by tremendous crowds in Argentina. But to add more flavor to the tour, Lionel Messi’s arrival in Argentina raised speculations about him possibly attending the concert. However, although he was absent, another singer ravished the crowd by taking their…The post Hours After Arrival in Argentina, Lionel Messi Name-Dropped at Taylor Swift’s Eras Tour Concert by Sabrina Carpenter appeared first on EssentiallySports.",Tour,5,5,positive
"After Taylor Swift Changes Lyrics for Travis Kelce amid Eras Tour, ‘Karma’ Surges Across Musical Platforms to Enter Top 100","Travis Kelce just blitzed his way into the Chiefs’ history books, outrunning every tight end in the league to hit a whopping 10,491 yards. it all went down in an epic showdown against the Miami Dolphins at Frankfurt Stadium. Where the Kansas City Chiefs‘ trusty tight end left defenders in the dust. Clearly, Kelce celebrated…The post After Taylor Swift Changes Lyrics for Travis Kelce amid Eras Tour, ‘Karma’ Surges Across Musical Platforms to Enter Top 100 appeared first on EssentiallySports.",Song,5,6,positive
Taylor Swift Steps Out with Friend Gracie Abrams in New York,"Taylor Swift swapped out the PDA with Travis Kelce for a girly powwow with her good friend Gracie Abrams in the Big Apple on Monday night. After a jam-packed, headline-grabbing tour stop in Argentina, Taylor was probably breaking down her weekend's…",Friends,4,4,neutral
Taylor Swift gifts limited-edition cardigan to Ciara Wilson ahead of Eras Tour concerts in Brazil,Taylor Swift gifts limited-edition cardigan to Ciara Wilson ahead of Eras Tour concerts in Brazil,Tour,5,5,neutral
Taylor Swift hints Travis Kelce romance is serious with these subtle clues,Taylor Swift has dropped subtle clues about her relationship with Travis Kelce. Her fans have picked up on hints the romance is getting serious during The Eras Tour.,Dating life,1,1,neutral
Patrick Mahomes or Taylor Swift: Who Should the Eagles Be More Worried About Going Into the Super Bowl Rematch at Arrowhead?,"The Kansas City Chiefs are lacing up their cleats for a gridiron showdown with the Philadelphia Eagles in week 11. Meanwhile, singing sensation Taylor Swift is busy prepping for the next leg of her “Eras World Tour’ in Brazil. Now, what is common between these 3? The Kelce family feud, where blood ties and NFL…The post Patrick Mahomes or Taylor Swift: Who Should the Eagles Be More Worried About Going Into the Super Bowl Rematch at Arrowhead? appeared first on EssentiallySports.",NFL,2,2,neutral
Travis Kelce's Family Overwhelmed by Taylor Swift Fans and Media Frenzy,"Taylor Swift and Travis Kelce's relationship remains the apple of the media's collective eye -- and after more than a month of the spotlight, it's starting to take a toll on his loved ones. Sources with direct knowledge tell TMZ ... the frenzy in…",Dating life,1,1,neutral
"Before Declaring Taylor Swift as NFL MVP, Tonight Show Starring Jimmy Fallon Revealed the ‘Truth’ About Pickleball","Taylor Swift attended Jimmy Fallon’s Tonight Show. Swift has earlier attended the show multiple times. However, this time, she didn’t physically attend, but she was remembered by the host for sure. Swift and Travis Kelce have been in the news for over 1 month. After reportedly being seen attending the SNL studio, having dinner, and…The post Before Declaring Taylor Swift as NFL MVP, Tonight Show Starring Jimmy Fallon Revealed the ‘Truth’ About Pickleball appeared first on EssentiallySports.",Dating life,1,5,neutral
“Lions Got Their Own Taylor”: Taylor Lautner’s MNF Appearance Got Fans Talking About His Ex-Girlfriend Taylor Swift,"The Detroit Lions crushed their AFC West rivals Las Vegas Raiders with a 26-14 glorious win. This improves the team’s 6-2 record season as they head to a much-needed bye-Week 9, bouncing back from a 38-6 loss to the Baltimore Ravens in the last game. Looks like Eminem’s support wasn’t enough, so they got a…The post “Lions Got Their Own Taylor”: Taylor Lautner’s MNF Appearance Got Fans Talking About His Ex-Girlfriend Taylor Swift appeared first on EssentiallySports.",NFL,2,2,neutral
Olympic Legend Simone Biles Sidelines Taylor Swift as She Wins NFL Fans’ Hearts With Appearance for Husband Jonathan Owens’ During Green Bay Packers Game,"After the conclusion of the 2023 World Artistic Gymnastics Championships, Simone Biles made heads turn. On the other hand, Taylor Swift, the top-tier pop star, made an appearance at rumored boyfriend Travis Kelce’s recent NFL match. Both of them are preparing for an appearance at Travis Kelce and Jonathan Owen’s respective games. Fans already chose…The post Olympic Legend Simone Biles Sidelines Taylor Swift as She Wins NFL Fans’ Hearts With Appearance for Husband Jonathan Owens’ During Green Bay Packers Game appeared first on EssentiallySports.",Success,6,3,neutral
Broncos troll Chiefs by blasting Taylor Swift hit throughout the stadium after major upset,The Denver Broncos had a little fun at the expense of Chiefs' star Travis Kelce after they defeated Kansas City on Sunday for the first time since 2015.,NFL,2,2,neutral
Taylor Swift Misses Travis Kelce’s Colorado Clash While Her Fresh Pictures From Past Week Sends Fans Into a Frenzy,"Sorry Denver Swifties, but it looks like “Mother” isn’t going to be there in Colorado. The last time she was at Empower Field was during her Eras Tour in July. But this time, it looks like Taylor Swift isn’t willing to make the journey from wherever she is staying now,  to support her rumored beau, Kansas…The post Taylor Swift Misses Travis Kelce’s Colorado Clash While Her Fresh Pictures From Past Week Sends Fans Into a Frenzy appeared first on EssentiallySports.",Dating life,1,1,neutral
"Taylor Swift Won't Attend Travis Kelce Chiefs Game This Sunday, It's Tour Time","Taylor Swift has been a fixture at a bunch of Travis Kelce's games this season, but that's not gonna happen this weekend ... cuz her multibillion-dollar tour is about to start back up. Sources with direct knowledge tell us Taylor won't be making…",Tour,5,5,neutral
Selena Gomez raises concern over Taylor Swift and Travis Kelce's relationship 'moving too fast': PageSix report,Selena Gomez raises concern over Taylor Swift and Travis Kelce's relationship 'moving too fast': PageSix report,Dating life,1,1,negative
"After Billionaire Feat, Taylor Swift & Travis Kelce Blow David Beckham & Victoria Out of the Water Thanks to Insane Financial Gulf","Taylor Swift and Travis Kelce are the new lovebirds in town. As the two continue to captivate the world of sports and entertainment, together they are also managing to enhance their prosperity and wealth. In fact, they managed to outshine the other renowned couple in the sporting-singing world, David and Victoria Beckham. While the Beckham…The post After Billionaire Feat, Taylor Swift & Travis Kelce Blow David Beckham & Victoria Out of the Water Thanks to Insane Financial Gulf appeared first on EssentiallySports.",Dating life,1,1,positive
“Oh My F***ing God”: Travis Kelce Responds to Viral TikTok Video of People Dressed Up as Him and Taylor Swift for Halloween,"Who doesn’t want to be their icon in real life? But when one fan tried to impersonate the billionaire singer-songwriter Taylor Swift, it did not end up well. Everyone knows who Taylor Swift is, but not many people outside of the football fanbase know about Travis Kelce. So, when the rumors regarding Swift dating Travis…The post “Oh My F***ing God”: Travis Kelce Responds to Viral TikTok Video of People Dressed Up as Him and Taylor Swift for Halloween appeared first on EssentiallySports.",Criticism,3,3,neutral
Gisele Bündchen or Taylor Swift – Who Invested More Money On Multi-Million Dollar Luxury Homes?,"These two women are the real estate moguls of the world. Both Gisele Bündchen and Taylor Swift embarked on their respective careers at a similar young age. Now, both of them have risen to become the top figures in their respective fields, earning recognition as the richest individuals in their domains. Tay-Tay has recently covered…The post Gisele Bündchen or Taylor Swift – Who Invested More Money On Multi-Million Dollar Luxury Homes? appeared first on EssentiallySports.",Success,6,6,positive
"“Fire Within Him”: Not Taylor Swift, Mommy Donna Reveals What Drives Travis Kelce","For reasons more than one, Kansas City Chiefs star Tight End Travis Kelce will not forget the 2023 season in a rush. Both on the professional and personal front, the 34-year-old star has witnessed quite a rise. While the Chiefs have witnessed the best of Travis Kelce this season, his rumored relationship with American Pop…The post “Fire Within Him”: Not Taylor Swift, Mommy Donna Reveals What Drives Travis Kelce appeared first on EssentiallySports.",NFL,2,2,neutral
What Are the Favorite Emojis of Patrick Mahomes and Taylor Swift? What Does It Say About Their Mentality?,"Patrick Mahomes‘ teammate and the pop star have yet to confirm their dating rumors. However, Taylor Swift‘s alleged friendship bond with the Kansas City Chiefs squad, including Brittany Mahomes, have ignited buzz among football enthusiasts and Swifties. From partying in KC to attending games in the stadiums, Swift has reportedly come very close to Chiefs…The post What Are the Favorite Emojis of Patrick Mahomes and Taylor Swift? What Does It Say About Their Mentality? appeared first on EssentiallySports.",Dating life,1,1,neutral
“Bigger Deal Than Simone”: Deion Sanders’ Harshest Critic Debunks Wild Biles v. Taylor Swift Conspiracy Theories,"It seems as if Taylor Swift continues to be a heated topic of discussion in the NFL. The global pop icon has been making the news ever since she started dating Travis Kelce, the tight end for the Kansas City Chiefs. The pair of Kelce-Swift might very well be one of the most influential couples…The post “Bigger Deal Than Simone”: Deion Sanders’ Harshest Critic Debunks Wild Biles v. Taylor Swift Conspiracy Theories appeared first on EssentiallySports.",NFL,3,1,positive
Bradley Chubb delivers cold response to Taylor Swift question: “Couldn’t care less”,Bradley Chubb delivers cold response to Taylor Swift question: “Couldn’t care less”,Criticism,4,4,negative
Positive Brittany Endorses Triple Alliance With Sophie Turner and Taylor Swift After Kayla Breakup,The wait has finally come to an end. One of the juiciest matches of this season is almost about to take off. The Kansas City Chiefs will be at war against the Miami Dolphins. The anticipation for this match is off the charts. Both teams are coming in with a staggering 6 wins and both…The post Positive Brittany Endorses Triple Alliance With Sophie Turner and Taylor Swift After Kayla Breakup appeared first on EssentiallySports.,NFL,2,2,neutral
In pictures: Eugenie Bouchard and boyfriend Jack Brinkley-Cook dress up as Taylor Swift and Travis Kelce for Halloween,In pictures: Eugenie Bouchard and boyfriend Jack Brinkley-Cook dress up as Taylor Swift and Travis Kelce for Halloween,Criticism,3,3,neutral
Tyreek Hill Gets Candid About ‘Dangerous’ Travis Kelce-Taylor Swift Link-Up After Teammate Jaylen Waddle Comes Out as a Swiftie,"The Miami Dolphins are causing a tidal wave this season. Whether it’s their ‘cool’ coach, Mike McDaniels, known for his calm demeanor and a stellar collection of eyewear, or the iconic duo of QB Tua Tagovailoa and TE Tyreek Hill, who are shaking things up for Patrick Mahomes and Travis Kelce. But it seems the…The post Tyreek Hill Gets Candid About ‘Dangerous’ Travis Kelce-Taylor Swift Link-Up After Teammate Jaylen Waddle Comes Out as a Swiftie appeared first on EssentiallySports.",NFL,2,2,neutral
“Dolphins Suck”: Swifties Rip Dolphins’ Bradley Chubb to Shreds After Edge Rusher Took a Subtle Dig at ‘Mommy’ Taylor Swift,"Lo-and-behold, the match on everyone’s mind is almost here. The Kansas City Chiefs are all set to compete against the Miami Dolphins this weekend. They will be flying to Germany to play their next match. The anticipation for this match has many hearts throbbing. As both teams are coming in with 6 wins and only…The post “Dolphins Suck”: Swifties Rip Dolphins’ Bradley Chubb to Shreds After Edge Rusher Took a Subtle Dig at ‘Mommy’ Taylor Swift appeared first on EssentiallySports.",NFL,2,2,neutral
Travis Kelce Report Card – Chiefs TE Falters in Frankfurt Sans Taylor Swift’s Presence; Delivers Season’s Worst Show,"On Sunday, Taylor Swift’s alleged boyfriend Travis Kelce, had a nightmare of a performance in Germany. The Kansas City Chiefs faced off against the Miami Dolphins on November 5 in Frankfurt city for their international match. This Week 9 clash not only held the attention of the game but remained intriguing for the Red Sea…The post Travis Kelce Report Card – Chiefs TE Falters in Frankfurt Sans Taylor Swift’s Presence; Delivers Season’s Worst Show appeared first on EssentiallySports.",NFL,2,2,neutral
Taylor Swift Enlightens American Voters to Use Their Voice Productively Mere Days After Travis Kelce News,12-time Grammy-winning mega popstar Taylor Swift has always been conscious of her platform. And she has utilized that to bring positive and encouraging messages to her fans worldwide. Now she uses her social media power for elections! This was after her rumored beloved Travis Kelce reached new heights. While Kelce uses his Instagram to post…The post Taylor Swift Enlightens American Voters to Use Their Voice Productively Mere Days After Travis Kelce News appeared first on EssentiallySports.,Politics,3,3,neutral
Taylor Swift Reporter Faces Criticism Online,Bryan West landed a much-coveted job. Then came the internet.,Criticism,3,3,neutral
Travis Kelce faces jabs after another quiet game without Taylor Swift in attendance,Kansas City Chiefs tight end Travis Kelce faced some ribbing on social media as he had another quiet game with Taylor Swift not in attendance.,NFL,2,2,neutral
Taylor Swift’s remake of '1989' outsold the original’s first-week numbers—and it's not even close,That’s the first time a remake has outsold the original.,Song,6,6,positive
"After Allegedly Getting Sidelined for Taylor Swift, Simone Biles Receives 3-Word Message From the NFL World","Jonathan Owens welcomed his long-term supporter, Simone Biles, to the football fan-club. Getting married in April 2023, and drifting apart due to career obligations, didn’t sit right with the couple. They lost out on some much needed quality time, in a nutshell. But a fortuitous turn of events graced Biles. However, after an Ohio NFL…The post After Allegedly Getting Sidelined for Taylor Swift, Simone Biles Receives 3-Word Message From the NFL World appeared first on EssentiallySports.",NFL,2,3,neutral
“My Forever Muse”: Taylor Swift Inspires Equestrian Elegance in Stella McCartney’s Latest Collection,"Since the pop icon Taylor Swift befriended an equestrian enthusiast, they created nothing short of magic. As the Kansas City Chiefs defeated the Miami Dolphins in yesterday’s finals, the NFL fans celebrated. Having said that, Travis Kelce, the pivotal player of the Chiefs, missed his girlfriend, Taylor Swift, being around. Being away for the iconic…The post “My Forever Muse”: Taylor Swift Inspires Equestrian Elegance in Stella McCartney’s Latest Collection appeared first on EssentiallySports.",Success,3,6,positive
Peyton Manning Gets Befitting Response From NY Jets After He Backed ‘Taylor Swift Can Sell Out a Stadium’ Comment,NFL banters among fans is a rather rampant scene on the internet. But the same gesture expressed by the stars and the teams of the gridiron? Now that is where matters take an interesting turn. Something similar went down between Peyton Manning and the New York Jets after the recent opening ceremony of the 2023…The post Peyton Manning Gets Befitting Response From NY Jets After He Backed ‘Taylor Swift Can Sell Out a Stadium’ Comment appeared first on EssentiallySports.,Reactions,3,3,neutral
Inside Taylor Swift’s $40 Million Worth Private Jet & Travis Kelce’s Luxurious Car Collection,"Taylor Swift’s Eras tour is embarking on a global journey. Spanning South America in November and extending to Asia, Australia, and Europe in the coming year, the scale of its potential success is unprecedented. With projections reaching a staggering $1.4 billion in eventual earnings, this tour is poised to become the most financially lucrative in…The post Inside Taylor Swift’s $40 Million Worth Private Jet & Travis Kelce’s Luxurious Car Collection appeared first on EssentiallySports.",Dating life,6,6,positive
"Biden confuses Taylor Swift, Britney Spears in botched turkey pardon joke",The 81-year-old president stumbled over the punchline of his joke at the pre-Thanksgiving event.,Media and pop culture coverage,3,3,neutral
NFL Commissioner Breaks Silence as Travis Kelce Set to Take the Taylor Swift Relationship to Next Level,"Finally, NFL Commissioner Roger Goodell hopped on the Taylor Swift and Travis Kelce bandwagon. After a lot of beating around the bush, Travis Kelce and Taylor Swift made their relationship official to the world with a heartwarming kiss. Since then, Kelce has been on another level of his relationship. The duo is getting engaged on…The post NFL Commissioner Breaks Silence as Travis Kelce Set to Take the Taylor Swift Relationship to Next Level appeared first on EssentiallySports.",Dating life,1,1,positive
Taylor Swift's absence shifts Travis Kelce's Monday Night Football prop markets,submitted by   /u/Mayrklj [link]   [comments],NFL,1,1,positive
"Popcast (Deluxe): Mailbag! The Beatles, Taylor Swift and More",Taking viewer and listener questions on hot topics in pop music.,Music,5,5,neutral
Is Taylor Swift an Eagles fan? Explaining why the singer cheers for Philadelphia despite newfound Chiefs love,Explaining why Taylor Swift is a Philadelphia and Eagles fan despite dating Chiefs player Travis Kelce.,NFL,3,2,neutral
Super Bowl champ dishes on Taylor Swift effect on NFL: 'I think it makes it fun',New York Giants legend weighed in on the Taylor Swift effect on the NFL amid her relationship with Kansas City Chiefs superstar Travis Kelce.,NFL,2,2,positive
How Many Boyfriends Did Taylor Swift Have? Eras Tour Artist Grabs Global Attention Amid Travis Kelce ‘Engagement’ Reports,"Taylor Swift has finally found her “Lover.” It has been only around three months since the NFL and the entire world was covered with Travis Kelce and Taylor Swift’s news. And now, as they move forward in their relationship, many speculate that they will get engaged soon. Everyone knows that the iconic pop singer has…The post How Many Boyfriends Did Taylor Swift Have? Eras Tour Artist Grabs Global Attention Amid Travis Kelce ‘Engagement’ Reports appeared first on EssentiallySports.",Dating life,1,1,positive
Taylor Swift postpones Brazil concert due to 'extreme temperatures',"Taylor Swift announced that her Saturday night Eras concert in Rio de Janeiro has been postponed due to ""extreme temperatures.""",Concert,5,5,neutral
Travis Kelce's old tweets: Taylor Swift fans dig up NFL boyfriend's fun college musings,Taylor Swift fans dig up entertaining Travis Kelce's tweets from college in an approved social media check.,Entertainment,3,1,neutral
"Soccer clashes, Taylor Swift fan death tarnish Rio de Janeiro ahead of G20",RIO DE JANEIRO — Police swinging batons at panicking soccer fans. Children weeping in their mothers’ arms between the stadium’s stands. A man clutching his head as blood streamed down his face. The shocking scenes of crowd clashes and police violence that marred Tuesday’s World Cup qualifier between Brazil and Argentina at the Maracana is […],World News,3,3,neutral
Travis Kelce Has Some Special Surprises in Store for Girlfriend Taylor Swift This Christmas,"Swifties and Kansas City Chiefs fans were disappointed when Taylor Swift did not turn up for her beau, Travis Kelce’s game against the Philadelphia Eagles. Swift is currently in Brazil, for the international leg of the Eras Tour. Taylor’s absence proved costly for the Chiefs as they lost to the Eagles in the Super Bowl…",Dating life,1,1,neutral
Taylor Swift Gives Thumbs Up to Travis Kelce’s Achievement as Underrated Tight End Enters NFL’s Elite Club,"Travis Kelce just unleashed a football spectacle, confirming he’s got more gridiron magic up his sleeve than a wizard in cleats. The Kansas City Chiefs’ dynamic Kelce and Patrick Mahomes duo orchestrated a victory symphony, cranking up the volume to a sweet 31-17 beat against the arch-nemesis LV Raiders. Talk about rewriting the playbook. They…",Dating life,1,1,neutral
“He’s Dating The Taylor Swift”: Travis Kelce’s Friends Are ‘Shocked’ By Their NFL Love Story,"At this point, Taylor Swift and Travis Kelce’s romance might as well be put on a tape and be sent to space for extraterrestrial life to witness as well. But for some reason, Kelce’s friends are in shock that the Kanas City Chiefs TE is actually dating the 12-time Grammy winner. Taylor Swift. Of course, you…",Dating life,3,1,positive
Taylor Swift skips Travis Kelce's football games for Eras Tour prep,"Taylor Swift has been a staple at Travis Kelce's Kansas City Chiefs games as of late, but she missed a recent game to focus on her upcoming Eras Tour stops in South America.",Concert,1,1,neutral
“I Can Relate”: Kayla Nicole Channels Greek Goddess as Ex-Boyfriend Travis Kelce – Taylor Swift Storyline Is Heating Up,"Travis Kelce is one of the most popular Tight Ends in the league. This is true because of his game, but also because he is famously dating the iconic pop star Taylor Swift. While the world is on the Kelce-Swift bandwagon, Kayla Nicole, Kelce’s ex, has found inspiration and realized that she is nothing short…The post “I Can Relate”: Kayla Nicole Channels Greek Goddess as Ex-Boyfriend Travis Kelce – Taylor Swift Storyline Is Heating Up appeared first on EssentiallySports.",Reactions,3,3,neutral
"Travis Kelce's Ex, Kayla Nicole, Courtside At Laker Game Amid Taylor Swift Craze","Kayla Nicole might not be with Travis Kelce anymore, but she had no issue getting the best seats in the house when the Lakers hosted the Clippers on Wednesday -- enjoying the contest from a courtside view. The model and fitness influencer appeared…",Reactions,3,3,neutral
Rogers Proudly Presents Taylor Swift | The Eras Tour in Vancouver,"Company to give away hundreds of premium seats with national contest for Vancouver and Toronto shows VANCOUVER, British Columbia, Nov. 02, 2023 (GLOBE NEWSWIRE) — Rogers Communications Inc. announced today it is the proud presenting sponsor of Taylor Swift | The Eras Tour in Vancouver. Swift will be performing on December 6, 7 and 8, […]",Concert,5,5,positive
“Taylor Swift Is Undefeated”: $1.1 Billion Reason Earns NFL Team Paul Pierce’s Favor Ahead of Mammoth Showdown,The Kansas City Chiefs are up against the Miami Dolphins today. Which means the Deutsche Bank Park could turn into the Eras concert. Or so some people would wish. There is no confirmation if Taylor Swift would make an appearance at the game but she’s already the reason why everyone is rooting for one team.…The post “Taylor Swift Is Undefeated”: $1.1 Billion Reason Earns NFL Team Paul Pierce’s Favor Ahead of Mammoth Showdown appeared first on EssentiallySports.,NFL,3,2,positive
"While Travis and Mahomes Enter the Frankfurt Dome, Taylor Swift Befriends Brittany","It’s not far now, it’s just a few hours from now. The match that everyone wants to witness is already here. The Kansas City Chiefs are geared up to face the Miami Dolphins in Frankfurt. Both teams have managed to maintain a commendable record this season. Both teams boast six wins and only have 2…The post While Travis and Mahomes Enter the Frankfurt Dome, Taylor Swift Befriends Brittany appeared first on EssentiallySports.",NFL,4,2,neutral
